,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
433,Aquarius,Sagittarius,AquariusSagittarius,0.9
434,Scorpio,Sagittarius,ScorpioSagittarius,0.28
435,Capricorn,Leo,CapricornLeo,0.35
436,Sagittarius,Taurus,SagittariusTaurus,0.3
437,Cancer,Cancer,CancerCancer,0.75
438,Pisces,Aries,PiscesAries,0.67
440,Sagittarius,Cancer,SagittariusCancer,0.53
441,Leo,Aquarius,LeoAquarius,0.69
442,Scorpio,Sagittarius,ScorpioSagittarius,0.28
443,Virgo,Aries,VirgoAries,0.63
444,Aries,Cancer,AriesCancer,0.42
445,Gemini,Aries,GeminiAries,0.83
447,Taurus,Pisces,TaurusPisces,0.85
448,Virgo,Virgo,VirgoVirgo,0.65
449,Gemini,Sagittarius,GeminiSagittarius,0.6
450,Aries,Taurus,AriesTaurus,0.38
451,Gemini,Taurus,GeminiTaurus,0.33
452,Leo,Aquarius,LeoAquarius,0.69
453,Virgo,Capricorn,VirgoCapricorn,0.95
454,Scorpio,Cancer,ScorpioCancer,0.94
455,Scorpio,Leo,ScorpioLeo,0.58
456,Pisces,Taurus,PiscesTaurus,0.85
457,Cancer,Taurus,CancerTaurus,0.97
458,Sagittarius,Leo,SagittariusLeo,0.93
459,Capricorn,Taurus,CapricornTaurus,0.98
461,Aquarius,Pisces,AquariusPisces,0.45
462,Pisces,Taurus,PiscesTaurus,0.85
463,Scorpio,Taurus,ScorpioTaurus,0.88
464,Libra,Virgo,LibraVirgo,0.68
465,Taurus,Libra,TaurusLibra,0.65
466,Aries,Aquarius,AriesAquarius,0.78
467,Taurus,Capricorn,TaurusCapricorn,0.98
468,Taurus,Taurus,TaurusTaurus,0.58
469,Aquarius,Cancer,AquariusCancer,0.27
470,Cancer,Aquarius,CancerAquarius,0.27
471,Aquarius,Aries,AquariusAries,0.78
473,Pisces,Leo,PiscesLeo,0.38
474,Libra,Aries,LibraAries,0.85
475,Pisces,Pisces,PiscesPisces,0.6
476,Sagittarius,Aries,SagittariusAries,0.93
477,Libra,Aquarius,LibraAquarius,0.9
478,Aquarius,Aries,AquariusAries,0.78
479,Gemini,Pisces,GeminiPisces,0.53
480,Libra,Virgo,LibraVirgo,0.68
481,Leo,Virgo,LeoVirgo,0.35
482,Libra,Leo,LibraLeo,0.97
483,Pisces,Taurus,PiscesTaurus,0.85
484,Cancer,Capricorn,CancerCapricorn,0.83
485,Gemini,Virgo,GeminiVirgo,0.68
486,Gemini,Leo,GeminiLeo,0.88
487,Libra,Libra,LibraLibra,0.75
488,Pisces,Aries,PiscesAries,0.67
489,Pisces,Gemini,PiscesGemini,0.53
490,Capricorn,Scorpio,CapricornScorpio,0.95
491,Taurus,Libra,TaurusLibra,0.65
492,Cancer,Leo,CancerLeo,0.35
493,Virgo,Capricorn,VirgoCapricorn,0.95
494,Sagittarius,Aries,SagittariusAries,0.93
497,Pisces,Capricorn,PiscesCapricorn,0.88
499,Scorpio,Aries,ScorpioAries,0.5
500,Virgo,Aquarius,VirgoAquarius,0.3
501,Cancer,Capricorn,CancerCapricorn,0.83
503,Capricorn,Capricorn,CapricornCapricorn,0.75
504,Taurus,Aries,TaurusAries,0.38
506,Aries,Virgo,AriesVirgo,0.63
507,Scorpio,Cancer,ScorpioCancer,0.94
508,Taurus,Capricorn,TaurusCapricorn,0.98
509,Taurus,Leo,TaurusLeo,0.73
510,Leo,Taurus,LeoTaurus,0.73
511,Virgo,Aquarius,VirgoAquarius,0.3
512,Scorpio,Pisces,ScorpioPisces,0.97
513,Taurus,Scorpio,TaurusScorpio,0.88
514,Gemini,Virgo,GeminiVirgo,0.68
515,Aries,Cancer,AriesCancer,0.42
516,Aquarius,Aquarius,AquariusAquarius,0.45
517,Aries,Taurus,AriesTaurus,0.38
518,Capricorn,Leo,CapricornLeo,0.35
519,Scorpio,Scorpio,ScorpioScorpio,0.8
520,Capricorn,Cancer,CapricornCancer,0.83
521,Aquarius,Capricorn,AquariusCapricorn,0.69
522,Aries,Taurus,AriesTaurus,0.38
523,Pisces,Sagittarius,PiscesSagittarius,0.63
524,Gemini,Cancer,GeminiCancer,0.65
527,Aries,Cancer,AriesCancer,0.42
528,Libra,Sagittarius,LibraSagittarius,0.73
530,Sagittarius,Aries,SagittariusAries,0.93
531,Aquarius,Leo,AquariusLeo,0.68
532,Sagittarius,Virgo,SagittariusVirgo,0.48
534,Pisces,Virgo,PiscesVirgo,0.88
535,Capricorn,Leo,CapricornLeo,0.35
537,Leo,Leo,LeoLeo,0.45
538,Aquarius,Aquarius,AquariusAquarius,0.45
539,Gemini,Cancer,GeminiCancer,0.65
540,Leo,Scorpio,LeoScorpio,0.58
541,Leo,Gemini,LeoGemini,0.88
543,Aries,Gemini,AriesGemini,0.83
544,Taurus,Virgo,TaurusVirgo,0.9
545,Capricorn,Sagittarius,CapricornSagittarius,0.6
546,Aries,Aquarius,AriesAquarius,0.78
547,Virgo,Scorpio,VirgoScorpio,0.88
548,Aquarius,Gemini,AquariusGemini,0.85
549,Leo,Taurus,LeoTaurus,0.73
550,Cancer,Gemini,CancerGemini,0.65
551,Aquarius,Scorpio,AquariusScorpio,0.73
552,Cancer,Cancer,CancerCancer,0.75
553,Leo,Leo,LeoLeo,0.45
554,Capricorn,Aries,CapricornAries,0.47
555,Aquarius,Aries,AquariusAries,0.78
556,Taurus,Pisces,TaurusPisces,0.85
557,Leo,Virgo,LeoVirgo,0.35
558,Aquarius,Leo,AquariusLeo,0.68
559,Leo,Taurus,LeoTaurus,0.73
560,Capricorn,Libra,CapricornLibra,0.55
561,Pisces,Capricorn,PiscesCapricorn,0.88
562,Scorpio,Cancer,ScorpioCancer,0.94
563,Taurus,Pisces,TaurusPisces,0.85
564,Pisces,Pisces,PiscesPisces,0.6
565,Taurus,Gemini,TaurusGemini,0.33
566,Aquarius,Gemini,AquariusGemini,0.85
567,Pisces,Aries,PiscesAries,0.67
568,Taurus,Cancer,TaurusCancer,0.97
569,Cancer,Scorpio,CancerScorpio,0.94
570,Leo,Cancer,LeoCancer,0.35
571,Capricorn,Pisces,CapricornPisces,0.88
572,Scorpio,Virgo,ScorpioVirgo,0.88
573,Capricorn,Virgo,CapricornVirgo,0.95
574,Libra,Taurus,LibraTaurus,0.65
575,Capricorn,Aries,CapricornAries,0.47
576,Libra,Taurus,LibraTaurus,0.65
577,Cancer,Scorpio,CancerScorpio,0.94
578,Cancer,Capricorn,CancerCapricorn,0.83
579,Aquarius,Aries,AquariusAries,0.78
580,Leo,Taurus,LeoTaurus,0.73
582,Gemini,Scorpio,GeminiScorpio,0.28
583,Taurus,Scorpio,TaurusScorpio,0.88
584,Taurus,Sagittarius,TaurusSagittarius,0.3
585,Capricorn,Scorpio,CapricornScorpio,0.95
586,Pisces,Scorpio,PiscesScorpio,0.97
587,Libra,Cancer,LibraCancer,0.43
588,Aquarius,Taurus,AquariusTaurus,0.58
589,Taurus,Gemini,TaurusGemini,0.33
590,Taurus,Aries,TaurusAries,0.38
592,Capricorn,Cancer,CapricornCancer,0.83
593,Capricorn,Aries,CapricornAries,0.47
594,Leo,Pisces,LeoPisces,0.38
595,Scorpio,Aries,ScorpioAries,0.5
596,Sagittarius,Aquarius,SagittariusAquarius,0.9
598,Gemini,Libra,GeminiLibra,0.93
599,Taurus,Pisces,TaurusPisces,0.85
600,Sagittarius,Virgo,SagittariusVirgo,0.48
601,Virgo,Sagittarius,VirgoSagittarius,0.48
602,Virgo,Sagittarius,VirgoSagittarius,0.48
603,Gemini,Leo,GeminiLeo,0.88
604,Pisces,Libra,PiscesLibra,0.88
605,Sagittarius,Virgo,SagittariusVirgo,0.48
606,Taurus,Pisces,TaurusPisces,0.85
607,Sagittarius,Aquarius,SagittariusAquarius,0.9
608,Taurus,Pisces,TaurusPisces,0.85
609,Aquarius,Pisces,AquariusPisces,0.45
610,Aquarius,Gemini,AquariusGemini,0.85
611,Cancer,Gemini,CancerGemini,0.65
612,Capricorn,Pisces,CapricornPisces,0.88
613,Aries,Scorpio,AriesScorpio,0.5
614,Libra,Taurus,LibraTaurus,0.65
615,Scorpio,Aquarius,ScorpioAquarius,0.73
616,Cancer,Sagittarius,CancerSagittarius,0.53
617,Aquarius,Gemini,AquariusGemini,0.85
618,Pisces,Cancer,PiscesCancer,0.98
620,Capricorn,Pisces,CapricornPisces,0.88
621,Pisces,Aquarius,PiscesAquarius,0.45
622,Libra,Scorpio,LibraScorpio,0.35
623,Taurus,Gemini,TaurusGemini,0.33
624,Aries,Scorpio,AriesScorpio,0.5
629,Libra,Libra,LibraLibra,0.75
630,Aquarius,Gemini,AquariusGemini,0.85
631,Leo,Scorpio,LeoScorpio,0.58
632,Taurus,Aquarius,TaurusAquarius,0.58
633,Virgo,Sagittarius,VirgoSagittarius,0.48
