Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
Scorpio,Cancer,ScorpioCancer,0.94
Cancer,Cancer,CancerCancer,0.75
Virgo,Scorpio,VirgoScorpio,0.88
Sagittarius,Sagittarius,SagittariusSagittarius,0.45
Cancer,Gemini,CancerGemini,0.65
Taurus,Capricorn,TaurusCapricorn,0.98
Taurus,Libra,TaurusLibra,0.65
Scorpio,Scorpio,ScorpioScorpio,0.8
Aries,Leo,AriesLeo,0.97
Gemini,Taurus,GeminiTaurus,0.33
Scorpio,Capricorn,ScorpioCapricorn,0.95
Cancer,Pisces,CancerPisces,0.98
Virgo,Pisces,VirgoPisces,0.88
Virgo,Virgo,VirgoVirgo,0.65
Scorpio,Aries,ScorpioAries,0.5
Leo,Leo,LeoLeo,0.45
Virgo,Gemini,VirgoGemini,0.68
Aries,Pisces,AriesPisces,0.67
Leo,Libra,LeoLibra,0.97
Scorpio,Taurus,ScorpioTaurus,0.88
Cancer,Scorpio,CancerScorpio,0.94
Aquarius,Virgo,AquariusVirgo,0.3
Taurus,Sagittarius,TaurusSagittarius,0.3
Sagittarius,Cancer,SagittariusCancer,0.53
Virgo,Libra,VirgoLibra,0.69
Leo,Gemini,LeoGemini,0.88
Virgo,Aquarius,VirgoAquarius,0.3
Libra,Pisces,LibraPisces,0.88
Sagittarius,Aquarius,SagittariusAquarius,0.9
Aquarius,Gemini,AquariusGemini,0.85
Sagittarius,Taurus,SagittariusTaurus,0.3
Leo,Leo,LeoLeo,0.45
Virgo,Aries,VirgoAries,0.63
Virgo,Taurus,VirgoTaurus,0.9
Libra,Cancer,LibraCancer,0.43
Libra,Aries,LibraAries,0.85
Leo,Taurus,LeoTaurus,0.73
Libra,Scorpio,LibraScorpio,0.35
Sagittarius,Taurus,SagittariusTaurus,0.3
Capricorn,Pisces,CapricornPisces,0.88
Capricorn,Leo,CapricornLeo,0.35
Aries,Leo,AriesLeo,0.97
Libra,Leo,LibraLeo,0.97
Pisces,Libra,PiscesLibra,0.88
Aries,Leo,AriesLeo,0.97
Taurus,Cancer,TaurusCancer,0.97
Taurus,Virgo,TaurusVirgo,0.9
Scorpio,Leo,ScorpioLeo,0.58
Leo,Aquarius,LeoAquarius,0.69
Pisces,Libra,PiscesLibra,0.88
Gemini,Scorpio,GeminiScorpio,0.28
Scorpio,Sagittarius,ScorpioSagittarius,0.28
Scorpio,Gemini,ScorpioGemini,0.28
Taurus,Capricorn,TaurusCapricorn,0.98
Virgo,Aquarius,VirgoAquarius,0.3
Pisces,Libra,PiscesLibra,0.88
Sagittarius,Capricorn,SagittariusCapricorn,0.6
Pisces,Aquarius,PiscesAquarius,0.45
Virgo,Leo,VirgoLeo,0.35
Scorpio,Scorpio,ScorpioScorpio,0.8
Scorpio,Cancer,ScorpioCancer,0.94
Sagittarius,Aries,SagittariusAries,0.93
Aquarius,Sagittarius,AquariusSagittarius,0.9
Scorpio,Sagittarius,ScorpioSagittarius,0.28
Gemini,Sagittarius,GeminiSagittarius,0.6
Cancer,Cancer,CancerCancer,0.75
Libra,Taurus,LibraTaurus,0.65
Gemini,Pisces,GeminiPisces,0.53
Pisces,Cancer,PiscesCancer,0.98
Aries,Cancer,AriesCancer,0.42
Scorpio,Gemini,ScorpioGemini,0.28
Sagittarius,Cancer,SagittariusCancer,0.53
Libra,Aries,LibraAries,0.85
Virgo,Taurus,VirgoTaurus,0.9
Gemini,Aries,GeminiAries,0.83
Leo,Capricorn,LeoCapricorn,0.35
Virgo,Pisces,VirgoPisces,0.88
Cancer,Aries,CancerAries,0.42
Libra,Gemini,LibraGemini,0.93
Capricorn,Taurus,CapricornTaurus,0.98
Aquarius,Leo,AquariusLeo,0.68
Gemini,Leo,GeminiLeo,0.88
Virgo,Aquarius,VirgoAquarius,0.3
Sagittarius,Cancer,SagittariusCancer,0.53
Libra,Aquarius,LibraAquarius,0.9
Aries,Aquarius,AriesAquarius,0.78
Scorpio,Aquarius,ScorpioAquarius,0.73
Scorpio,Virgo,ScorpioVirgo,0.88
Sagittarius,Cancer,SagittariusCancer,0.53
Taurus,Virgo,TaurusVirgo,0.9
Pisces,Virgo,PiscesVirgo,0.88
Scorpio,Virgo,ScorpioVirgo,0.88
Sagittarius,Leo,SagittariusLeo,0.93
Aries,Libra,AriesLibra,0.85
Taurus,Pisces,TaurusPisces,0.85
Taurus,Leo,TaurusLeo,0.73
Taurus,Libra,TaurusLibra,0.65
Aquarius,Libra,AquariusLibra,0.9
Taurus,Cancer,TaurusCancer,0.97
Aquarius,Aquarius,AquariusAquarius,0.45
Capricorn,Aries,CapricornAries,0.47
Scorpio,Pisces,ScorpioPisces,0.97
Aries,Gemini,AriesGemini,0.83
Taurus,Capricorn,TaurusCapricorn,0.98
Libra,Scorpio,LibraScorpio,0.35
Pisces,Taurus,PiscesTaurus,0.85
Sagittarius,Virgo,SagittariusVirgo,0.48
Aries,Aquarius,AriesAquarius,0.78
Taurus,Aries,TaurusAries,0.38
Aquarius,Aquarius,AquariusAquarius,0.45
Capricorn,Sagittarius,CapricornSagittarius,0.6
Gemini,Libra,GeminiLibra,0.93
Libra,Capricorn,LibraCapricorn,0.55
Sagittarius,Aries,SagittariusAries,0.93
Libra,Cancer,LibraCancer,0.43
Taurus,Aries,TaurusAries,0.38
Aries,Gemini,AriesGemini,0.83
Leo,Virgo,LeoVirgo,0.35
Aries,Capricorn,AriesCapricorn,0.47
Aries,Cancer,AriesCancer,0.42
Libra,Pisces,LibraPisces,0.88
Pisces,Aries,PiscesAries,0.67
Leo,Pisces,LeoPisces,0.38
Aquarius,Pisces,AquariusPisces,0.45
Libra,Gemini,LibraGemini,0.93
Aries,Taurus,AriesTaurus,0.38
Aquarius,Gemini,AquariusGemini,0.85
Pisces,Cancer,PiscesCancer,0.98
Capricorn,Sagittarius,CapricornSagittarius,0.6
Aquarius,Libra,AquariusLibra,0.9
Scorpio,Pisces,ScorpioPisces,0.97
Pisces,Pisces,PiscesPisces,0.6
Taurus,Sagittarius,TaurusSagittarius,0.3
Leo,Capricorn,LeoCapricorn,0.35
Cancer,Taurus,CancerTaurus,0.97
Taurus,Libra,TaurusLibra,0.65
Libra,Sagittarius,LibraSagittarius,0.73
Leo,Pisces,LeoPisces,0.38
Sagittarius,Scorpio,SagittariusScorpio,0.28
Aries,Leo,AriesLeo,0.97
Cancer,Gemini,CancerGemini,0.65
Virgo,Aries,VirgoAries,0.63
Aries,Capricorn,AriesCapricorn,0.47
Gemini,Libra,GeminiLibra,0.93
Leo,Pisces,LeoPisces,0.38
Aquarius,Sagittarius,AquariusSagittarius,0.9
Scorpio,Sagittarius,ScorpioSagittarius,0.28
Capricorn,Leo,CapricornLeo,0.35
Sagittarius,Taurus,SagittariusTaurus,0.3
Cancer,Cancer,CancerCancer,0.75
Pisces,Aries,PiscesAries,0.67
