,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate,Compatibility
1165,Aries,Libra,AriesLibra,85%,Good_fit
1166,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
1167,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
1168,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
1169,Libra,Gemini,LibraGemini,93%,Good_fit
1170,Capricorn,Leo,CapricornLeo,35%,Bad_fit
1171,Leo,Gemini,LeoGemini,88%,Good_fit
1172,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
1173,Aries,Gemini,AriesGemini,83%,Good_fit
1174,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
1179,Cancer,Taurus,CancerTaurus,97%,Good_fit
1180,Libra,Virgo,LibraVirgo,68%,Bad_fit
1181,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
1182,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
1183,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
1184,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
1185,Aquarius,Gemini,AquariusGemini,85%,Good_fit
1186,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
1188,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
1190,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
1191,Virgo,Cancer,VirgoCancer,90%,Good_fit
1192,Taurus,Pisces,TaurusPisces,85%,Good_fit
1193,Libra,Cancer,LibraCancer,43%,Bad_fit
1194,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
1196,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
1197,Pisces,Pisces,PiscesPisces,60%,Bad_fit
1198,Aries,Libra,AriesLibra,85%,Good_fit
1199,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
1200,Leo,Taurus,LeoTaurus,73%,Good_fit
1201,Virgo,Leo,VirgoLeo,35%,Bad_fit
1202,Taurus,Virgo,TaurusVirgo,90%,Good_fit
1203,Libra,Taurus,LibraTaurus,65%,Bad_fit
1204,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
1205,Taurus,Aquarius,TaurusAquarius,58%,Bad_fit
1206,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
1208,Cancer,Cancer,CancerCancer,75%,Good_fit
1210,Pisces,Libra,PiscesLibra,88%,Good_fit
1211,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
1212,Capricorn,Cancer,CapricornCancer,83%,Good_fit
1213,Cancer,Taurus,CancerTaurus,97%,Good_fit
1214,Cancer,Virgo,CancerVirgo,90%,Good_fit
1215,Cancer,Pisces,CancerPisces,98%,Good_fit
1216,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
1218,Aries,Virgo,AriesVirgo,63%,Bad_fit
1219,Pisces,Taurus,PiscesTaurus,85%,Good_fit
1220,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
1221,Gemini,Leo,GeminiLeo,88%,Good_fit
1222,Virgo,Pisces,VirgoPisces,88%,Good_fit
1223,Taurus,Cancer,TaurusCancer,97%,Good_fit
1224,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
1225,Gemini,Libra,GeminiLibra,93%,Good_fit
1226,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
1227,Aquarius,Libra,AquariusLibra,90%,Good_fit
1228,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
1229,Aries,Taurus,AriesTaurus,38%,Bad_fit
1230,Gemini,Pisces,GeminiPisces,53%,Bad_fit
1231,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
1232,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
1234,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
1235,Taurus,Libra,TaurusLibra,65%,Bad_fit
1237,Cancer,Pisces,CancerPisces,98%,Good_fit
1238,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
1239,Cancer,Libra,CancerLibra,43%,Bad_fit
1240,Virgo,Taurus,VirgoTaurus,90%,Good_fit
1241,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
1242,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
1243,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
1244,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
1245,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
1246,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
1247,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
1248,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
1249,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
1250,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
1251,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
1252,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
1254,Cancer,Virgo,CancerVirgo,90%,Good_fit
1256,Taurus,Aquarius,TaurusAquarius,58%,Bad_fit
1257,Aquarius,Aries,AquariusAries,78%,Good_fit
1258,Virgo,Cancer,VirgoCancer,90%,Good_fit
1259,Taurus,Gemini,TaurusGemini,33%,Bad_fit
1260,Taurus,Aries,TaurusAries,38%,Bad_fit
1261,Cancer,Virgo,CancerVirgo,90%,Good_fit
1262,Capricorn,Aries,CapricornAries,47%,Bad_fit
1263,Libra,Cancer,LibraCancer,43%,Bad_fit
1264,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
1266,Libra,Aquarius,LibraAquarius,90%,Good_fit
1267,Libra,Cancer,LibraCancer,43%,Bad_fit
1268,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
1270,Capricorn,Aries,CapricornAries,47%,Bad_fit
1271,Taurus,Pisces,TaurusPisces,85%,Good_fit
1272,Libra,Pisces,LibraPisces,88%,Good_fit
1274,Taurus,Virgo,TaurusVirgo,90%,Good_fit
1275,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
1277,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
1278,Pisces,Pisces,PiscesPisces,60%,Bad_fit
1279,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
1280,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
1281,Aries,Aquarius,AriesAquarius,78%,Good_fit
1282,Libra,Leo,LibraLeo,97%,Good_fit
1283,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
1284,Virgo,Gemini,VirgoGemini,68%,Bad_fit
1285,Sagittarius,Taurus,SagittariusTaurus,30%,Bad_fit
1286,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
1287,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
1288,Pisces,Pisces,PiscesPisces,60%,Bad_fit
1289,Aries,Taurus,AriesTaurus,38%,Bad_fit
1290,Aries,Gemini,AriesGemini,83%,Good_fit
1291,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
1292,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
1293,Capricorn,Leo,CapricornLeo,35%,Bad_fit
1294,Capricorn,Cancer,CapricornCancer,83%,Good_fit
1295,Sagittarius,Taurus,SagittariusTaurus,30%,Bad_fit
1296,Pisces,Gemini,PiscesGemini,53%,Bad_fit
1299,Scorpio,Aries,ScorpioAries,50%,Bad_fit
1301,Libra,Libra,LibraLibra,75%,Good_fit
1302,Virgo,Libra,VirgoLibra,69%,Bad_fit
1303,Aries,Taurus,AriesTaurus,38%,Bad_fit
1304,Taurus,Cancer,TaurusCancer,97%,Good_fit
1305,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
1306,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
1307,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
1308,Pisces,Cancer,PiscesCancer,98%,Good_fit
1311,Taurus,Leo,TaurusLeo,73%,Good_fit
1312,Pisces,Libra,PiscesLibra,88%,Good_fit
1313,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
1314,Libra,Cancer,LibraCancer,43%,Bad_fit
1315,Aries,Gemini,AriesGemini,83%,Good_fit
1316,Aries,Gemini,AriesGemini,83%,Good_fit
1317,Aquarius,Leo,AquariusLeo,68%,Bad_fit
1318,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
1320,Gemini,Gemini,GeminiGemini,60%,Bad_fit
1322,Leo,Taurus,LeoTaurus,73%,Good_fit
1323,Capricorn,Leo,CapricornLeo,35%,Bad_fit
1324,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
1325,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
1326,Taurus,Pisces,TaurusPisces,85%,Good_fit
1327,Leo,Pisces,LeoPisces,38%,Bad_fit
1328,Taurus,Aquarius,TaurusAquarius,58%,Bad_fit
1329,Libra,Scorpio,LibraScorpio,35%,Bad_fit
1330,Libra,Cancer,LibraCancer,43%,Bad_fit
1332,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
1333,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
1335,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
1336,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
1337,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
1338,Aquarius,Gemini,AquariusGemini,85%,Good_fit
1339,Cancer,Libra,CancerLibra,43%,Bad_fit
1340,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
1341,Aries,Aquarius,AriesAquarius,78%,Good_fit
1342,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
1343,Pisces,Virgo,PiscesVirgo,88%,Good_fit
1344,Taurus,Aries,TaurusAries,38%,Bad_fit
1347,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
1348,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
1349,Sagittarius,Aries,SagittariusAries,93%,Good_fit
1350,Cancer,Libra,CancerLibra,43%,Bad_fit
1351,Libra,Gemini,LibraGemini,93%,Good_fit
1352,Taurus,Virgo,TaurusVirgo,90%,Good_fit
1353,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
1354,Libra,Cancer,LibraCancer,43%,Bad_fit
1355,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
1357,Pisces,Gemini,PiscesGemini,53%,Bad_fit
1358,Cancer,Leo,CancerLeo,35%,Bad_fit
1359,Gemini,Leo,GeminiLeo,88%,Good_fit
1360,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
1361,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
1362,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
1363,Virgo,Aries,VirgoAries,63%,Bad_fit
1364,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
1365,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
1366,Scorpio,Aries,ScorpioAries,50%,Bad_fit
1367,Libra,Gemini,LibraGemini,93%,Good_fit
1368,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
1369,Leo,Pisces,LeoPisces,38%,Bad_fit
1370,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
1371,Pisces,Libra,PiscesLibra,88%,Good_fit
1372,Leo,Leo,LeoLeo,45%,Bad_fit
1373,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
1374,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
1375,Libra,Libra,LibraLibra,75%,Good_fit
1376,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
1377,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
1378,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
1379,Libra,Virgo,LibraVirgo,68%,Bad_fit
1380,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
1381,Capricorn,Pisces,CapricornPisces,88%,Good_fit
1383,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
1385,Virgo,Aries,VirgoAries,63%,Bad_fit
1386,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
1387,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
1388,Leo,Capricorn,LeoCapricorn,35%,Bad_fit
1389,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
1390,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
1391,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
1392,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
1393,Aries,Leo,AriesLeo,97%,Good_fit
1394,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
1395,Aries,Gemini,AriesGemini,83%,Good_fit
1396,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
1397,Leo,Libra,LeoLibra,97%,Good_fit
1398,Virgo,Aries,VirgoAries,63%,Bad_fit
1399,Gemini,Leo,GeminiLeo,88%,Good_fit
1400,Cancer,Virgo,CancerVirgo,90%,Good_fit
1401,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
1402,Leo,Scorpio,LeoScorpio,58%,Bad_fit
1403,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
1404,Aquarius,Leo,AquariusLeo,68%,Bad_fit
1405,Virgo,Pisces,VirgoPisces,88%,Good_fit
1406,Virgo,Aries,VirgoAries,63%,Bad_fit
1407,Pisces,Cancer,PiscesCancer,98%,Good_fit
1408,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
1409,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
1410,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
1411,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
1412,Leo,Aquarius,LeoAquarius,69%,Bad_fit
1413,Aries,Virgo,AriesVirgo,63%,Bad_fit
1414,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
1415,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
1416,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
1417,Libra,Taurus,LibraTaurus,65%,Bad_fit
1418,Aries,Leo,AriesLeo,97%,Good_fit
1420,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
1422,Pisces,Aries,PiscesAries,67%,Bad_fit
1423,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
1424,Pisces,Aries,PiscesAries,67%,Bad_fit
1425,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
1426,Taurus,Pisces,TaurusPisces,85%,Good_fit
1427,Aquarius,Libra,AquariusLibra,90%,Good_fit
1428,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
1429,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
1430,Virgo,Libra,VirgoLibra,69%,Bad_fit
1431,Taurus,Pisces,TaurusPisces,85%,Good_fit
1432,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
1433,Aries,Capricorn,AriesCapricorn,47%,Bad_fit
1434,Aries,Aries,AriesAries,50%,Bad_fit
1435,Libra,Aries,LibraAries,85%,Good_fit
1436,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
1438,Capricorn,Aries,CapricornAries,47%,Bad_fit
1439,Leo,Taurus,LeoTaurus,73%,Good_fit
1440,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
1441,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
1442,Capricorn,Scorpio,CapricornScorpio,95%,Good_fit
1443,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
1444,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
1445,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
1446,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
1447,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
1448,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
1449,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
1450,Leo,Taurus,LeoTaurus,73%,Good_fit
1451,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
1452,Cancer,Cancer,CancerCancer,75%,Good_fit
1453,Sagittarius,Aries,SagittariusAries,93%,Good_fit
1454,Virgo,Cancer,VirgoCancer,90%,Good_fit
1455,Cancer,Gemini,CancerGemini,65%,Bad_fit
1456,Cancer,Leo,CancerLeo,35%,Bad_fit
1457,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
1458,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
1459,Virgo,Pisces,VirgoPisces,88%,Good_fit
1460,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
1461,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
1462,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
1463,Aries,Libra,AriesLibra,85%,Good_fit
1464,Virgo,Libra,VirgoLibra,69%,Bad_fit
1465,Aries,Leo,AriesLeo,97%,Good_fit
1468,Taurus,Aries,TaurusAries,38%,Bad_fit
1469,Taurus,Pisces,TaurusPisces,85%,Good_fit
1470,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
1471,Pisces,Taurus,PiscesTaurus,85%,Good_fit
1472,Aries,Aquarius,AriesAquarius,78%,Good_fit
1473,Leo,Libra,LeoLibra,97%,Good_fit
1474,Leo,Cancer,LeoCancer,35%,Bad_fit
1475,Libra,Pisces,LibraPisces,88%,Good_fit
1476,Libra,Aquarius,LibraAquarius,90%,Good_fit
1477,Libra,Aries,LibraAries,85%,Good_fit
1478,Taurus,Libra,TaurusLibra,65%,Bad_fit
1479,Gemini,Leo,GeminiLeo,88%,Good_fit
1480,Leo,Aquarius,LeoAquarius,69%,Bad_fit
1481,Aquarius,Cancer,AquariusCancer,27%,Bad_fit
1483,Libra,Virgo,LibraVirgo,68%,Bad_fit
1484,Cancer,Virgo,CancerVirgo,90%,Good_fit
1486,Gemini,Libra,GeminiLibra,93%,Good_fit
1487,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
1488,Gemini,Aries,GeminiAries,83%,Good_fit
1489,Libra,Aquarius,LibraAquarius,90%,Good_fit
1491,Capricorn,Scorpio,CapricornScorpio,95%,Good_fit
1492,Cancer,Scorpio,CancerScorpio,94%,Good_fit
1493,Libra,Cancer,LibraCancer,43%,Bad_fit
1494,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
1495,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
1496,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
1497,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
1498,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
1499,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
1500,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
1503,Aries,Libra,AriesLibra,85%,Good_fit
1504,Leo,Cancer,LeoCancer,35%,Bad_fit
1505,Leo,Virgo,LeoVirgo,35%,Bad_fit
1506,Scorpio,Taurus,ScorpioTaurus,88%,Good_fit
1507,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
1508,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
1509,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
1510,Pisces,Aries,PiscesAries,67%,Bad_fit
1512,Capricorn,Libra,CapricornLibra,55%,Bad_fit
1513,Taurus,Cancer,TaurusCancer,97%,Good_fit
1514,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
1516,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
1517,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
1518,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
1519,Pisces,Aries,PiscesAries,67%,Bad_fit
1520,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
1521,Sagittarius,Aries,SagittariusAries,93%,Good_fit
1522,Cancer,Pisces,CancerPisces,98%,Good_fit
1523,Pisces,Leo,PiscesLeo,38%,Bad_fit
1524,Cancer,Scorpio,CancerScorpio,94%,Good_fit
1525,Gemini,Gemini,GeminiGemini,60%,Bad_fit
1526,Taurus,Libra,TaurusLibra,65%,Bad_fit
1527,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
1528,Aries,Gemini,AriesGemini,83%,Good_fit
1529,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
1530,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
1531,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
1532,Cancer,Libra,CancerLibra,43%,Bad_fit
1533,Cancer,Virgo,CancerVirgo,90%,Good_fit
1534,Virgo,Libra,VirgoLibra,69%,Bad_fit
1535,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
1536,Taurus,Virgo,TaurusVirgo,90%,Good_fit
1538,Leo,Taurus,LeoTaurus,73%,Good_fit
1539,Taurus,Libra,TaurusLibra,65%,Bad_fit
1541,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
1542,Scorpio,Aries,ScorpioAries,50%,Bad_fit
1543,Cancer,Cancer,CancerCancer,75%,Good_fit
1544,Scorpio,Aries,ScorpioAries,50%,Bad_fit
1545,Taurus,Virgo,TaurusVirgo,90%,Good_fit
1546,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
1547,Gemini,Cancer,GeminiCancer,65%,Bad_fit
1548,Virgo,Taurus,VirgoTaurus,90%,Good_fit
1549,Leo,Taurus,LeoTaurus,73%,Good_fit
1550,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
1551,Leo,Virgo,LeoVirgo,35%,Bad_fit
1552,Taurus,Cancer,TaurusCancer,97%,Good_fit
1553,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
1554,Libra,Virgo,LibraVirgo,68%,Bad_fit
1555,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
1556,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
1557,Cancer,Cancer,CancerCancer,75%,Good_fit
1558,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
1559,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
1560,Cancer,Virgo,CancerVirgo,90%,Good_fit
1561,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
1562,Aries,Cancer,AriesCancer,42%,Bad_fit
1563,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
1564,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
1565,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
1566,Virgo,Taurus,VirgoTaurus,90%,Good_fit
1567,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
1568,Capricorn,Aries,CapricornAries,47%,Bad_fit
1569,Cancer,Cancer,CancerCancer,75%,Good_fit
1570,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
1571,Pisces,Aquarius,PiscesAquarius,45%,Bad_fit
1572,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
1573,Virgo,Taurus,VirgoTaurus,90%,Good_fit
1574,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
1575,Cancer,Virgo,CancerVirgo,90%,Good_fit
1576,Cancer,Aries,CancerAries,42%,Bad_fit
1578,Pisces,Taurus,PiscesTaurus,85%,Good_fit
1579,Libra,Cancer,LibraCancer,43%,Bad_fit
1580,Aries,Libra,AriesLibra,85%,Good_fit
1581,Leo,Scorpio,LeoScorpio,58%,Bad_fit
1582,Virgo,Aries,VirgoAries,63%,Bad_fit
1583,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
1584,Taurus,Gemini,TaurusGemini,33%,Bad_fit
1586,Taurus,Libra,TaurusLibra,65%,Bad_fit
1587,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
1588,Cancer,Aries,CancerAries,42%,Bad_fit
1589,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
1591,Aries,Aries,AriesAries,50%,Bad_fit
1592,Aries,Gemini,AriesGemini,83%,Good_fit
1594,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
1595,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
1597,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
1598,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
1599,Virgo,Pisces,VirgoPisces,88%,Good_fit
1600,Libra,Aquarius,LibraAquarius,90%,Good_fit
1601,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
1602,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
1603,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
1604,Capricorn,Pisces,CapricornPisces,88%,Good_fit
1605,Aries,Leo,AriesLeo,97%,Good_fit
1606,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
1607,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
1608,Leo,Aries,LeoAries,97%,Good_fit
1609,Virgo,Libra,VirgoLibra,69%,Bad_fit
1610,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
1611,Virgo,Taurus,VirgoTaurus,90%,Good_fit
1612,Taurus,Pisces,TaurusPisces,85%,Good_fit
1613,Gemini,Aries,GeminiAries,83%,Good_fit
1614,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
1616,Virgo,Taurus,VirgoTaurus,90%,Good_fit
1617,Pisces,Aquarius,PiscesAquarius,45%,Bad_fit
1618,Libra,Aries,LibraAries,85%,Good_fit
1619,Cancer,Leo,CancerLeo,35%,Bad_fit
1620,Aries,Scorpio,AriesScorpio,50%,Bad_fit
1621,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
1622,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
1623,Cancer,Aries,CancerAries,42%,Bad_fit
1624,Cancer,Virgo,CancerVirgo,90%,Good_fit
1625,Libra,Libra,LibraLibra,75%,Good_fit
1626,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
1627,Libra,Cancer,LibraCancer,43%,Bad_fit
1628,Cancer,Virgo,CancerVirgo,90%,Good_fit
1629,Virgo,Cancer,VirgoCancer,90%,Good_fit
1631,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
1632,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
1633,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
1634,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
1635,Aries,Cancer,AriesCancer,42%,Bad_fit
1636,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
1637,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
1638,Cancer,Leo,CancerLeo,35%,Bad_fit
1639,Taurus,Aries,TaurusAries,38%,Bad_fit
1640,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
1641,Leo,Libra,LeoLibra,97%,Good_fit
1642,Pisces,Virgo,PiscesVirgo,88%,Good_fit
1643,Leo,Libra,LeoLibra,97%,Good_fit
1644,Cancer,Pisces,CancerPisces,98%,Good_fit
1645,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
1646,Libra,Gemini,LibraGemini,93%,Good_fit
1647,Cancer,Libra,CancerLibra,43%,Bad_fit
1648,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
1649,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
1650,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
1651,Libra,Leo,LibraLeo,97%,Good_fit
1652,Taurus,Aries,TaurusAries,38%,Bad_fit
1653,Cancer,Aries,CancerAries,42%,Bad_fit
1654,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
1655,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
1656,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
1657,Cancer,Scorpio,CancerScorpio,94%,Good_fit
1658,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
1659,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
1661,Taurus,Libra,TaurusLibra,65%,Bad_fit
1662,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
1663,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
1664,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
