,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate,Compatibility
165,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
167,Libra,Libra,LibraLibra,75%,Good_fit
168,Leo,Gemini,LeoGemini,88%,Good_fit
169,Sagittarius,Aries,SagittariusAries,93%,Good_fit
170,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
171,Taurus,Gemini,TaurusGemini,33%,Bad_fit
172,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
173,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
174,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
177,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
178,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
180,Libra,Libra,LibraLibra,75%,Good_fit
181,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
182,Cancer,Libra,CancerLibra,43%,Bad_fit
184,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
185,Aquarius,Pisces,AquariusPisces,45%,Bad_fit
187,Gemini,Aries,GeminiAries,83%,Good_fit
188,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
189,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
190,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
191,Virgo,Leo,VirgoLeo,35%,Bad_fit
192,Leo,Virgo,LeoVirgo,35%,Bad_fit
193,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
194,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
195,Sagittarius,Aries,SagittariusAries,93%,Good_fit
196,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
197,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
198,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
199,Pisces,Virgo,PiscesVirgo,88%,Good_fit
200,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
201,Taurus,Gemini,TaurusGemini,33%,Bad_fit
203,Taurus,Aries,TaurusAries,38%,Bad_fit
204,Aries,Cancer,AriesCancer,42%,Bad_fit
205,Aquarius,Aries,AquariusAries,78%,Good_fit
206,Taurus,Aquarius,TaurusAquarius,58%,Bad_fit
207,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
208,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
210,Virgo,Libra,VirgoLibra,69%,Bad_fit
211,Scorpio,Taurus,ScorpioTaurus,88%,Good_fit
212,Gemini,Leo,GeminiLeo,88%,Good_fit
213,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
214,Taurus,Aries,TaurusAries,38%,Bad_fit
215,Capricorn,Scorpio,CapricornScorpio,95%,Good_fit
216,Leo,Scorpio,LeoScorpio,58%,Bad_fit
217,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
218,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
219,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
220,Libra,Virgo,LibraVirgo,68%,Bad_fit
221,Leo,Gemini,LeoGemini,88%,Good_fit
223,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
225,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
226,Aries,Aquarius,AriesAquarius,78%,Good_fit
227,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
228,Aquarius,Leo,AquariusLeo,68%,Bad_fit
229,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
230,Taurus,Leo,TaurusLeo,73%,Good_fit
231,Aries,Virgo,AriesVirgo,63%,Bad_fit
232,Aries,Virgo,AriesVirgo,63%,Bad_fit
233,Pisces,Aries,PiscesAries,67%,Bad_fit
234,Gemini,Pisces,GeminiPisces,53%,Bad_fit
235,Libra,Scorpio,LibraScorpio,35%,Bad_fit
236,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
239,Aries,Scorpio,AriesScorpio,50%,Bad_fit
241,Libra,Scorpio,LibraScorpio,35%,Bad_fit
242,Libra,Aquarius,LibraAquarius,90%,Good_fit
243,Capricorn,Aries,CapricornAries,47%,Bad_fit
244,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
245,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
246,Gemini,Pisces,GeminiPisces,53%,Bad_fit
248,Capricorn,Pisces,CapricornPisces,88%,Good_fit
249,Virgo,Gemini,VirgoGemini,68%,Bad_fit
250,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
251,Aquarius,Libra,AquariusLibra,90%,Good_fit
253,Libra,Scorpio,LibraScorpio,35%,Bad_fit
254,Taurus,Aquarius,TaurusAquarius,58%,Bad_fit
255,Leo,Aquarius,LeoAquarius,69%,Bad_fit
256,Cancer,Taurus,CancerTaurus,97%,Good_fit
257,Taurus,Gemini,TaurusGemini,33%,Bad_fit
